Supervillain name / Supervillain team name,Alter ego / group member,First appearance,Creator
Chameleon,Dmitri Nikolayevich,The Amazing Spider-Man #1 (March 1963)[118][119],Stan Lee[118][119]Steve Ditko[118][119]
Vulture,Adrian Toomes,The Amazing Spider-Man #2 (May 1963)[120][121],Stan Lee[120][122]Steve Ditko[120]
Doctor Octopus,Otto Octavius1,The Amazing Spider-Man #3 (July 1963)[119],Stan Lee[123][124]Steve Ditko[15][124]
Sandman,William Baker / Flint Marko,The Amazing Spider-Man #4 (Sept. 1963)[125][126],Stan Lee[125][126]Steve Ditko[125][126]
Lizard,Curt Connors,The Amazing Spider-Man #6 (Nov. 1963)[127][128][129],Stan Lee[127][128][129]Steve Ditko[127][128][129]
Electro,Max Dillon,The Amazing Spider-Man #9 (Feb. 1964)[130][131],Stan Lee[132] Steve Ditko[132]
Mysterio,Quentin Beck,The Amazing Spider-Man #13 (June 1964)[133],Stan Lee[133][134]Steve Ditko[133][134]
Green Goblin[135],Norman Osborn2Harry Osborn[136],The Amazing Spider-Man #14 (July 1964)[135],Stan Lee[135][137]Steve Ditko[135][137]
Kraven the Hunter,Sergei Kravinoff,The Amazing Spider-Man #15 (Aug. 1964)[137][138],Stan Lee[137]Steve Ditko[137]
Sinister Six[139],List of members,The Amazing Spider-Man Annual #1 (1964),Stan Lee[140]Steve Ditko[140]
Scorpion,Mac Gargan,The Amazing Spider-Man #20 (Jan. 1965),Stan Lee[141]Steve Ditko[141]
Rhino,Aleksei Sytsevich,The Amazing Spider-Man #41 (Oct. 1966)[142],Stan Lee[143]John Romita Sr.[143]
Shocker,Herman Schultz,The Amazing Spider-Man #46 (March 1967)[144],Stan Lee[145]John Romita Sr.[145]
Kingpin,Wilson Fisk,The Amazing Spider-Man #50 (July 1967)[146][147],Stan Lee[148]John Romita Sr.[148]
Morbius[149],Michael Morbius,The Amazing Spider-Man #101 (Jan. 1971)[150],Roy Thomas[150]Gil Kane[151]
Black Cat,Felicia Hardy,The Amazing Spider-Man #194 (July 1979)[152],Marv WolfmanKeith Pollard[152]
Hobgoblin,Roderick KingsleyJason Macendale[153]Ned Leeds[153],The Amazing Spider-Man #238 (March 1983),Roger Stern[154][155] John Romita Sr.[154][156]
Venom,Eddie Brock3,The Amazing Spider-Man #300 (May 1988)15[157][158],David Michelinie[159]Todd McFarlane[160]
Carnage,Cletus Kasady,The Amazing Spider-Man #361 (April 1992)[161],David Michelinie[162][163]Erik Larsen[164]Mark Bagley[162]
